protein_id	gene_names	OR-01	OR-04	OR-07	OR-09	OR-10	OR-13	OR-20	OR-23	OR-25	PD-02	PD-03	PD-04	PD-06	PD-07	PD-08	PD-09	PD-10	PD-11
A0AV96	RBM47	2873000	13443000	10197000	10300000	7821300	9443400	6883100	25059000	7363400	9036500	18647000	29718000	26182000	18787000	12593000	4596000	24452000	7008200
A0AVT1	UBA6	6304500	4140600	4160000	6203100	NA	5684200	7952600	5041800	7456600	4809000	7224100	5818800	4791000	3136300	NA	NA	3027200	8256200
A0FGR8	ESYT2	8151600	7003100	4174600	5828700	17735000	7658000	7529200	12814000	5367100	5611100	8838900	5652700	7723200	3468100	NA	7377100	9885300	13442000
A0MZ66	KIAA1598	9184200	18639000	10231000	13980000	NA	14065000	10253000	21662000	15175000	12472000	35408000	40896000	26382000	12760000	22235000	11125000	17767000	20097000
A1L0T0	ILVBL	4335700	8421400	18670000	13938000	18691000	NA	5700300	NA	17816000	15428000	10053000	NA	13777000	NA	22319000	26106000	6592600	47162000
A3KMH1	KIAA0564	2786500	16605000	NA	3018400	2720300	NA	3702400	2600100	NA	NA	NA	NA	2851700	NA	NA	NA	2529500	3753400
A5YKK6	CNOT1	6216200	5190000	6392500	6497800	5597800	5963700	9668300	6041500	NA	4862600	5589500	5223600	5916100	NA	NA	NA	5314600	4405700
B7ZAQ6;P0CG08;A6NKF9	GPR89A;GPR89B;GPR89C	NA	NA	NA	NA	6350000	3011100	NA	NA	5420100	NA	NA	NA	NA	NA	NA	NA	NA	NA
A6NL28		14263000	6663800	11142000	15979000	NA	15250000	6484600	10220000	NA	15825000	23345000	23853000	20360000	20311000	13651000	33181000	28066000	13471000
Q9BYU5;A8MTN3;P0C7H8;Q9BYT5	KRTAP2-1;KRTAP2-3;KRTAP2-2	NA	NA	NA	734880	NA	NA	NA	NA	2558900000	NA	NA	NA	NA	NA	NA	NA	NA	951610
A8MW06;P62328	TMSB4X	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2429800	NA	NA	NA	NA	3057000	NA	2575800
A8MWD9;P62308	SNRPG	15731000	7195000	11423000	15387000	12135000	9537300	2026100	7356800	NA	12819000	12682000	11309000	7641800	13204000	NA	6376700	15467000	8099300
B9A064;P0CG04	IGLL5;IGLC1	28502000	28869000	62845000	44352000	103590000	50031000	33353000	32495000	92434000	45433000	45522000	88351000	30484000	78303000	162370000	184820000	45190000	80232000
CON__O43790;O43790	KRT86	NA	616410	NA	178850000	2724700	407760	1137100	1568200	19854000000	266790	1435000	127570	611230	NA	NA	14655000	NA	4739100
CON__O76009;O76009;CON__Q6NTB9	KRT33A	NA	NA	NA	NA	NA	NA	NA	NA	1357400000	NA	NA	NA	NA	NA	NA	388570	NA	NA
CON__O76015;O76015	KRT38	NA	NA	NA	NA	NA	NA	NA	NA	1146400000	NA	NA	NA	NA	NA	NA	62236000	NA	NA
CON__P00761		5297300000	6743100000	7512500000	6310500000	5307900000	6000200000	5045000000	4515800000	6343000000	5922100000	4235200000	5889900000	5906200000	8152400000	6632400000	4357700000	4575000000	3447300000
CON__P02533;P02533;CON__P35900;P35900	KRT14	311070000	1807300000	344580000	875100000	493010000	2409400000	922220000	777120000	549730000	1435200000	563190000	179410000	1184500000	331620000	526730000	666750000	1605300000	1752700000
CON__P02538;P02538	KRT6A	NA	52833000	NA	23446000	NA	34594000	15731000	9242600	NA	NA	8149800	NA	18220000	NA	NA	14102000	15258000	33692000
CON__P02662		NA	2347000	11138000	666780	2954000	9258900	1573100	319890	7214800	382000000	3055200	1782900	NA	NA	NA	1530300	1284000	NA
CON__P02663		NA	4366300	NA	NA	NA	NA	3810800	NA	NA	80105000	NA	3331700	NA	NA	NA	NA	NA	NA
CON__P02668		NA	212280	217180	NA	NA	NA	NA	NA	NA	155280000	NA	NA	NA	NA	NA	NA	274820	207600
CON__P02754		NA	1825100	NA	886560	NA	1653900	1514000	3108600	NA	26203000	NA	1881500	NA	NA	NA	1603600	2834200	NA
CON__P02768-1;P02768	ALB	1384200000	1557600000	3618900000	1990000000	3259600000	2418200000	713870000	911840000	1106800000	5363200000	3258600000	3316900000	903300000	4589800000	2103200000	6791100000	4795900000	3488700000
CON__P02769		24006000	116010000	55214000	19224000	45668000	43432000	37257000	29521000	90985000	122960000	45358000	90864000	58216000	50463000	22769000	81012000	153740000	47428000
CON__P04259		148850000	686990000	97783000	251710000	107940000	659420000	175150000	142790000	146230000	191750000	229760000	39147000	323870000	35280000	88928000	236340000	288950000	657960000
CON__P05784		34127000	14632000	8790100	NA	49813000	10661000	NA	NA	NA	NA	NA	NA	NA	5743900	NA	NA	67508000	NA
CON__P05787;P05787;CON__H-INV:HIT000016045;CON__REFSEQ:XP_092267	KRT8	14575000000	8419800000	18570000000	2271200000	11949000000	10345000000	2454800000	1562400000	9146900000	6553100000	4678700000	5373000000	3918000000	22503000000	4950100000	3373700000	11020000000	7708800000
CON__P08729		NA	775200000	3300600000	13668000	1420600000	3761400000	610220000	37514000	974260000	3663200000	799450000	494430000	674680000	7297800000	1353700000	369850000	2961900	1954800000
CON__P08779;P08779;CON__Q3ZAW8;CON__Q9Z2K1	KRT16	246820000	476230000	22903000	243790000	75636000	987810000	145170000	114150000	105520000	69481000	159870000	60251000	221320000	35673000	29000000	282710000	190950000	585120000
CON__P13645;P13645;CON__Q7Z3Y7;Q7Z3Y7;CON__Q2M2I5;Q2M2I5;CON__Q7Z3Z0;Q7Z3Z0;CON__Q7Z3Y9;Q7Z3Y9	KRT10	1321700000	8624500000	4024200000	4282400000	2939500000	17423000000	8821400000	5853100000	3307100000	5320200000	3922700000	2669800000	4158100000	1712900000	2150400000	5578000000	13445000000	7814800000
CON__P13646-1		NA	NA	414120000	2445000	173390000	NA	NA	1582400	NA	NA	NA	NA	NA	NA	69542000	NA	NA	NA
CON__P13647;P13647	KRT5	124020000	1011800000	228500000	333140000	343920000	1104200000	550550000	457850000	249630000	863270000	330630000	116640000	631690000	185740000	289100000	382540000	917390000	821830000
CON__P19012;P19012	KRT15	NA	8318900	159430000	290980	75012000	1157400	NA	766150	NA	636960000	2399300	618380	3034300	120830000	6967800	NA	NA	NA
CON__P19013;P19013	KRT4	474910	3753800	550400000	3853600	194950000	1589200	2984600	11761000	NA	NA	NA	NA	3826400	NA	35930000	1485300	NA	4179500
CON__P20930;P20930	FLG	3026500	6567600	167560000	7909300	5716400	27430000	8411200	8264700	5696900	3105900	4333400	4052600	9805400	1750600	3297600	NA	31847000	8377200
CON__P35908		962350000	5587300000	2738700000	2975800000	2154600000	12213000000	6399100000	3526800000	2737300000	4049200000	2841000000	2031700000	3271900000	1067800000	1593700000	4103800000	11237000000	5758400000
CON__P48668;P48668	KRT6C	22273000	35506000	3724100	34974000	19876000	67111000	20530000	8789900	15750000	4100800	4856000	NA	40695000	2645800	NA	19934000	29405000	87667000
CON__P62894		26633000	29448000	56746000	16372000	17064000	31005000	25811000	21568000	26303000	36484000	26621000	34958000	34504000	34299000	NA	32388000	19596000	22976000
CON__P78386;P78386	KRT85	NA	7179500	134330	15646000	1484000	NA	768980	NA	5273800000	NA	118280	NA	7731100	NA	394970	65452	NA	95829
CON__Q04695;Q04695	KRT17	40614000	339880000	24923000	96710000	60614000	129720000	115900000	68065000	46180000	294890000	36802000	8784200	90701000	NA	205710000	75520000	100980000	368330000
CON__Q14525;Q14525	KRT33B	NA	NA	NA	2486400	NA	NA	NA	NA	2795400000	NA	NA	NA	NA	NA	NA	349120	NA	376500
CON__Q15323;CON__Q9UE12;Q15323	KRT31	NA	NA	895290	194430000	401730	NA	96837	NA	11451000000	NA	NA	424960	NA	108840	NA	21190000	NA	2755100
CON__Q32MB2;Q86Y46;CON__Q3SY84;Q3SY84	KRT73;KRT71	13618000	NA	NA	NA	47084000	NA	NA	53820000	NA	NA	40748000	NA	NA	NA	NA	NA	NA	85031000
CON__Q3KNV1;P08729	KRT7	NA	18449000	224510000	NA	81132000	217080000	12582000	NA	47075000	147830000	26781000	11273000	17330000	511410000	12947000	7650600	NA	94023000
CON__Q3SX28		NA	NA	10159000	10559000	NA	NA	NA	NA	NA	20403000	10896000	24931000	6694500	8229600	22447000	22826000	16315000	10883000
CON__Q3TTY5		NA	4415300	3887000	NA	NA	NA	4719400	NA	NA	NA	NA	NA	2916900	NA	NA	NA	8099600	NA
CON__Q5D862;Q5D862	FLG2	13794000	52997000	73580000	31909000	21251000	122110000	51597000	36763000	26722000	35980000	32548000	19068000	32244000	10732000	15831000	32278000	140750000	68086000
CON__Q6IFZ6		NA	6482700	10320000	2971800	NA	4866200	4019900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CON__Q6KB66-1;Q6KB66;CON__Q0VBK2	KRT80	NA	12729000	3601900	5265000	4330300	27186000	4663700	5775300	6202100	3839800	3963500	5109200	6373600	4924200	9323500	6437800	28241000	10618000
CON__Q7Z794;Q7Z794	KRT77	NA	6974800	NA	4775200	NA	7920600	7237800	5406800	NA	NA	NA	NA	NA	NA	NA	NA	12929000	11775000
CON__Q86YZ3;Q86YZ3	HRNR	19417000	277140000	62157000	100760000	189420000	252250000	110030000	111780000	132130000	82699000	82130000	60236000	158130000	47485000	32460000	115090000	351950000	172450000
CON__Q8IUT8;O76011;CON__O76011	KRT34	NA	NA	NA	1199600	NA	NA	NA	NA	2079800000	NA	NA	NA	NA	NA	NA	741790	NA	538690
CON__Q9C075;Q9C075;CON__Q99PS0	KRT23	NA	2471800	NA	NA	NA	2739700	NA	NA	NA	2430300	NA	NA	NA	5175600	NA	30191000	2090300	NA
CON__REFSEQ:XP_986630		NA	NA	NA	4409900	NA	NA	NA	NA	222860000	NA	NA	NA	NA	NA	NA	NA	NA	NA
O00116	AGPS	4464900	3789700	6624600	16247000	NA	49892000	17722000	5475200	5215600	5509300	NA	7426300	6698800	5310300	NA	NA	NA	5536400
O00148	DDX39A	NA	NA	14526000	3121300	NA	NA	NA	NA	NA	NA	NA	4824900	5485300	NA	61074000	NA	NA	5891600
O00151	PDLIM1	27653000	7854700	11539000	12533000	14600000	26179000	3247500	4857000	16947000	42702000	25956000	10626000	42336000	29014000	88517000	36138000	14815000	32471000
O00154	ACOT7	9317200	2783600	NA	14153000	2767800	NA	3493400	2529500	NA	NA	4509100	11550000	3175700	4685600	NA	NA	NA	7077800
O00159	MYO1C	26941000	65925000	37655000	28147000	23142000	73214000	27040000	105990000	23633000	27755000	43863000	41478000	22146000	32062000	12933000	25316000	39718000	29325000
O00161	SNAP23	2905100	7696300	7172900	15844000	12325000	9333800	6689500	27407000	6833000	8540400	10267000	8161800	6445300	8571000	NA	6634000	NA	7578600
O00170	AIP	13616000	2846600	9134000	4978500	NA	1756300	2619400	3030900	NA	3358800	24096000	3544500	2576800	NA	5516500	2613700	5580900	3823700
O00186	STXBP3	NA	NA	NA	1572600	2571100	NA	NA	NA	NA	2311100	1883100	NA	NA	NA	NA	NA	NA	NA
O00194	RAB27B	NA	19992000	7469500	14448000	5294700	12630000	NA	8335300	4118900	18805000	7858200	6114100	10852000	15987000	4304900	10992000	5998200	4160900
O00203	AP3B1	15125000	16856000	15668000	26515000	12254000	19167000	21731000	20122000	20201000	14762000	11617000	19930000	19593000	11734000	10019000	18645000	12896000	8784100
O00217	NDUFS8	4823900	NA	5937400	5760000	15200000	2694100	4449400	15350000	NA	2799400	6182200	3980000	5448000	7510700	NA	NA	4965800	NA
O00231	PSMD11	87885000	80308000	52813000	91762000	45680000	56976000	107750000	65759000	52529000	48813000	70016000	56376000	67566000	50514000	80143000	44496000	41964000	39246000
O00232	PSMD12	68216000	35200000	32371000	67498000	44276000	37551000	66100000	38222000	43835000	27185000	42171000	41288000	40633000	34619000	49630000	27958000	24847000	26137000
O00233	PSMD9	NA	NA	NA	NA	1559900	NA	NA	1845600	NA	1759300	3034000	2472000	NA	NA	NA	NA	2467100	NA
O00264	PGRMC1	9899000	80294000	44561000	24625000	109610000	37077000	21536000	21580000	22700000	39588000	60265000	61169000	29942000	107300000	42126000	44658000	23463000	27097000
O00299	CLIC1	71931000	128030000	79848000	70782000	47582000	87054000	119120000	85499000	101850000	106150000	103620000	83307000	182860000	97687000	136080000	132810000	107510000	183230000
O00303	EIF3F	30071000	25635000	29257000	28234000	29905000	28785000	20441000	43326000	27492000	28646000	24405000	24327000	27483000	28754000	14923000	19189000	23348000	23127000
O00330	PDHX	2368100	NA	NA	NA	NA	NA	1739500	1767000	NA	1967700	NA	NA	3220700	NA	NA	NA	NA	NA
O00391	QSOX1	1336500	NA	850200	18144000	NA	NA	1372000	12275000	3909900	806680	761470	NA	853590	3065800	NA	NA	NA	1372300
O00410;O60518	IPO5	38246000	33223000	29541000	20573000	34939000	35879000	29061000	22552000	33441000	12990000	13482000	25834000	29698000	19253000	14036000	15793000	16510000	39262000
O00422	SAP18	5290800	6810200	4293200	6157600	12498000	4205800	5570300	4219200	3665000	5657900	3500600	4480600	NA	2956600	NA	NA	4387300	2602200
O00429	DNM1L	30227000	22425000	23787000	18881000	23444000	11382000	38462000	16056000	9881300	13457000	35681000	10369000	9651100	10371000	NA	26746000	7763400	14370000
O00442	RTCD1	NA	NA	NA	3182600	NA	NA	6324500	4552700	NA	NA	NA	2683500	2914200	2939100	NA	NA	NA	2394900
O00469	PLOD2	22311000	NA	3089000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3200200	NA
O00483	NDUFA4	21788000	18124000	31734000	22543000	25662000	10091000	37549000	40671000	9073600	26384000	16749000	29439000	26003000	9599400	19493000	17955000	39255000	9548000
O00487	PSMD14	34404000	22460000	18826000	51907000	29235000	21828000	36807000	26923000	25547000	13303000	29208000	14738000	25349000	26642000	14281000	21928000	14375000	22008000
O00505	KPNA3	2248800	NA	3424300	2400600	4132500	3675000	3678500	1605000	NA	1864400	1958200	3855200	3659000	4484000	NA	NA	NA	3238400
O00519	FAAH	6570200	NA	NA	NA	NA	6921000	NA	8225100	3673900	NA	6125500	16757000	NA	10953000	NA	NA	6837400	NA
O00534	VWA5A	NA	NA	NA	NA	NA	NA	NA	5001200	NA	NA	NA	3553800	3595400	4071300	NA	4633500	NA	NA
O00560	SDCBP	3292200	NA	2937500	1462100	3177400	2653300	4551400	NA	NA	NA	1921800	NA	3476100	2836600	NA	NA	5811600	3554800
O00567	NOP56	37877000	43985000	56457000	45110000	86491000	63271000	52821000	133800000	32625000	85814000	42382000	35321000	46008000	49887000	43697000	37020000	32373000	41724000
O00571;O15523;Q9NQI0	DDX3X;DDX3Y	71059000	65422000	67544000	67494000	74570000	57632000	69806000	63053000	62016000	55267000	73609000	62673000	78415000	48550000	87428000	57030000	62516000	49256000
O00592	PODXL	NA	NA	NA	16133000	NA	NA	53884000	NA	NA	NA	NA	2717000	NA	NA	NA	1760900	NA	NA
O00629	KPNA4	11056000	6916400	8042400	10690000	14100000	12641000	8981900	5019900	9293000	2789500	14268000	6188000	10058000	7248700	6067700	8827800	11198000	35356000
O00746	NME4	NA	NA	NA	NA	NA	NA	2602800	NA	NA	NA	2774000	NA	NA	NA	NA	NA	5276000	NA
O14548	COX7A2L	10877000	NA	NA	9107100	NA	5460000	5650200	4927800	NA	NA	NA	NA	5228600	NA	NA	4661800	6640000	NA
O14561	NDUFAB1	8986600	3682700	7803500	3074700	6159400	2632000	5195800	4049200	NA	2505200	5354900	NA	3691100	3670900	NA	1972400	9579600	3704600
O14579	COPE	25110000	32683000	27849000	40094000	35186000	29219000	16936000	36525000	41208000	21865000	24607000	28154000	34417000	37833000	38771000	23214000	36380000	20287000
O14602;P47813	EIF1AY;EIF1AX	9884000	14628000	12555000	7707800	8407000	4458000	15803000	8169000	10519000	11435000	11750000	13498000	8863700	4417400	6503200	7646000	8021400	4987600
O14617	AP3D1	9864700	8179500	9964800	14289000	9499900	12601000	15476000	11104000	10576000	7441000	8239900	12945000	13595000	5198700	NA	11212000	9956600	5627900
O14662	STX16	33479000	NA	2880600	2900300	NA	NA	NA	NA	NA	1685700	NA	NA	NA	2015000	NA	NA	NA	NA
O14672	ADAM10	NA	7700500	2937800	10182000	18517000	12586000	4913900	7147500	2201400	6254900	NA	NA	5852500	1606900	NA	14619000	3910500	2842900
O14683	TP53I11	5761500	8829400	13029000	12678000	7068900	9107100	5671400	4020800	NA	15290000	11048000	10350000	7119600	NA	25878000	5242100	6124900	7981600
O14735	CDIPT	NA	NA	NA	NA	NA	NA	5702100	2383500	NA	NA	NA	NA	NA	NA	NA	NA	6128500	NA
O14744	PRMT5	4137400	4169700	4009100	4599600	3637900	5242100	9418900	8259900	NA	8903100	8661800	5076900	4100400	3179600	NA	5535800	3361200	7431100
O14745	SLC9A3R1	16324000	NA	4567800	18822000	NA	2229800	13178000	1189200	6699500	8618100	28878000	35595000	4325400	25120000	42282000	8018400	11313000	49780000
O14773	TPP1	4920900	9455000	11993000	14199000	55867000	11949000	7847300	24847000	19594000	21036000	8741800	41440000	5454800	23075000	15032000	15960000	26167000	17205000
O14776	TCERG1	NA	2895600	NA	NA	NA	4443900	3147800	NA	NA	NA	NA	NA	NA	2134100	NA	3876400	NA	NA
O14787	TNPO2	6540100	4355000	NA	6430500	3857400	5785000	6693600	NA	NA	NA	7605800	NA	5353300	NA	NA	NA	5065700	10531000
O14818;Q8TAA3	PSMA7	66658000	58737000	33247000	66144000	38825000	37003000	47823000	32465000	40641000	48889000	49990000	61885000	38865000	37874000	40048000	67051000	66694000	44504000
O14828	SCAMP3	26220000	24110000	25189000	35249000	12170000	16191000	79412000	15293000	40898000	11918000	16274000	10282000	34845000	25367000	5978500	30489000	17354000	25881000
O14841	OPLAH	5409900	4987600	18683000	13444000	4256700	4189500	NA	5655000	5393500	4264300	13904000	NA	17501000	6435200	9327700	NA	6644200	14307000
O14874	BCKDK	NA	5880700	4291400	3753200	8182700	NA	6282600	4032200	NA	4766000	4990900	5528200	NA	5010500	NA	NA	3958600	5819500
O14879	IFIT3	2298900	1622600	NA	16250000	NA	NA	NA	NA	NA	2409700	NA	13995000	NA	637900	NA	NA	3039800	3105200
O14880	MGST3	9487500	17173000	21210000	31461000	7701100	32976000	11857000	7424100	33900000	18516000	12239000	3018500	50790000	16973000	109190000	7140100	24870000	59119000
O14896	IRF6	NA	NA	NA	25328000	NA	2902900	9367900	NA	10591000	5839300	10345000	NA	3132100	NA	NA	NA	NA	NA
O14920	IKBKB	3684700	4342200	3366800	2171600	NA	NA	NA	3118300	NA	NA	NA	NA	4719700	2731700	NA	2816600	NA	NA
O14933	UBE2L6	1855900	2781200	NA	4472400	4135500	2348600	1904900	NA	NA	1659800	NA	12749000	2625000	1761800	NA	NA	2221900	11277000
O14936	CASK	2329000	9447100	8537600	6222300	NA	NA	3141300	4412000	NA	3541800	3294200	NA	3861000	NA	NA	3645400	NA	3337700
O14949	UQCRQ	32272000	19477000	10458000	23289000	42605000	14459000	30141000	24566000	20796000	20555000	11767000	16587000	19612000	9120900	6992400	9099900	30061000	8230300
O14950;P19105	MYL12B;MYL12A	133640000	93004000	164810000	237960000	109600000	90756000	81379000	130500000	84664000	129260000	102510000	125010000	129620000	107330000	126530000	180020000	138340000	123100000
O14964	HGS	5312200	NA	NA	4910000	NA	3372800	4769700	4495900	NA	4332200	4154200	NA	NA	3922100	4273100	NA	NA	11701000
O14974	PPP1R12A	3770200	NA	10203000	4049500	NA	NA	6278700	6585700	4242600	4569700	4829900	3550900	4442200	2813700	4947700	2925700	NA	4606500
O14975	SLC27A2	NA	22400000	1784000	3999200	NA	843140	986930	95529000	3464800	NA	1017700	NA	NA	NA	1491100	NA	NA	NA
O14976	GAK	3125700	NA	2288100	3886100	2813600	3393900	10255000	2722500	NA	NA	3556300	4093100	NA	1652500	NA	NA	1802200	3842700
O14979	HNRPDL	24613000	35647000	31335000	29148000	35172000	25601000	35994000	25523000	18021000	33558000	44450000	19182000	37964000	27832000	21119000	35591000	22148000	22358000
O14980	XPO1	77662000	83712000	79680000	70586000	86530000	80129000	111380000	53713000	73493000	49307000	77714000	55517000	65243000	62424000	35717000	46703000	40951000	82878000
O15020	SPTBN2	69166000	9638400	87855000	11775000	56671000	26781000	15152000	NA	9082700	NA	13718000	NA	15082000	8080700	24655000	11345000	NA	NA
O15027	SEC16A	8402700	19028000	16229000	22421000	17186000	18742000	17421000	56496000	45438000	18868000	22384000	34467000	18839000	38070000	19379000	12721000	6688200	7178900
O15031	PLXNB2	NA	NA	NA	2252100	NA	NA	NA	NA	NA	5671400	3228200	NA	3087300	NA	NA	NA	NA	NA
O15042	U2SURP	6436800	NA	4590000	5848600	9415800	6321400	NA	7184200	NA	6276600	8665900	NA	6562600	NA	6981900	8959200	NA	9495200
O15075	DCLK1	3995500	5658100	3323600	2261700	NA	11195000	151740000	NA	NA	1976000	5605800	NA	3264500	NA	5625100	NA	NA	NA
O15126	SCAMP1	12042000	10246000	8685700	22205000	8901300	41950000	46885000	35044000	26690000	5737600	10332000	9381900	11090000	9913700	9410500	NA	9371200	9638000
O15127	SCAMP2	11719000	18861000	12479000	30229000	6117600	4710900	23089000	21986000	NA	NA	9516100	9074100	12231000	13749000	NA	9542600	20900000	NA
O15143	ARPC1B	24536000	22058000	18238000	17038000	17453000	26428000	13823000	19036000	17636000	14569000	10387000	41987000	27359000	35956000	28157000	24743000	21038000	16444000
O15144	ARPC2	53561000	56518000	38243000	46170000	41293000	61843000	47238000	65056000	73870000	41694000	43667000	77819000	55888000	49275000	37176000	60989000	44771000	52827000
O15145	ARPC3	50391000	31137000	34248000	35503000	37940000	53513000	26639000	36293000	63427000	25714000	31716000	60390000	38264000	50777000	19971000	33307000	39623000	45147000
O15173	PGRMC2	19920000	33050000	36681000	32167000	44053000	15235000	37490000	33472000	32476000	31515000	70685000	23108000	24004000	45033000	21430000	40870000	40449000	29698000
O15229	KMO	NA	NA	1155600	NA	18105000	NA	NA	NA	NA	NA	NA	NA	NA	885440	NA	NA	NA	NA
O15230	LAMA5	NA	NA	NA	NA	19503000	NA	9081800	NA	NA	NA	NA	10211000	NA	NA	NA	NA	NA	NA
O15231	ZNF185	NA	5162000	4119300	2939500	NA	NA	NA	NA	NA	NA	14707000	NA	2663100	5158800	5512700	NA	NA	NA
O15254	ACOX3	5472900	27431000	11572000	100600000	4727200	22827000	3807800	16536000	27940000	41860000	54375000	7591700	40561000	15289000	14793000	11630000	9071100	9330100
O15258	RER1	5888700	6531500	NA	8081300	9496100	5429900	5351000	13009000	NA	6077700	5533100	7325800	6575600	8884400	NA	3865000	4695700	4433400
O15260	SURF4	14940000	22988000	12434000	23371000	20002000	25044000	14617000	20491000	30260000	9440400	13772000	22929000	25860000	29525000	17703000	19651000	17098000	10888000
O15269	SPTLC1	NA	5402700	NA	3670100	7074700	6835100	6623600	NA	NA	5725300	5082500	6840500	NA	16950000	5324200	7220000	NA	5024000
O15270	SPTLC2	NA	3249700	6042200	2114900	21977000	23106000	3373800	NA	5754600	2974600	3233300	4031100	3066800	15055000	NA	NA	3381300	NA
O15296	ALOX15B	NA	635080	609450	NA	NA	NA	NA	NA	NA	357650	209020	NA	245610	NA	NA	NA	NA	NA
O15320;A4FU28;Q86UF2;Q96RT6	CTAGE5	2628000	4166500	3128500	2895700	3815300	4790300	NA	7052600	NA	2765700	3920000	4232700	3474000	3563000	NA	NA	3071500	NA
O15321	TM9SF1	NA	6748200	8288200	8375400	8113200	12128000	5103700	4338300	5522800	NA	4302700	5878700	5006200	2977000	6305800	6482300	4311500	NA
O15327	INPP4B	NA	NA	15386000	NA	NA	NA	NA	NA	NA	3232200	5520300	NA	19284000	5079000	NA	NA	6273100	6320300
O15355	PPM1G	386380000	95866000	144570000	254760000	156780000	193780000	138190000	10389000	NA	297430000	149780000	197210000	122700000	108040000	327090000	223200000	182110000	108590000
O15357	INPPL1	10987000	1747800	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O15371	EIF3D	11383000	17872000	13716000	23079000	9530900	12258000	9292300	26761000	17431000	17524000	15110000	11942000	22945000	13338000	NA	11365000	10958000	12756000
O15372	EIF3H	15346000	11169000	13060000	15762000	13662000	14147000	9854900	20113000	16619000	17893000	14179000	13819000	19412000	10049000	17116000	8912900	13010000	20405000
O15382	BCAT2	4197300	10603000	10084000	48996000	13068000	21576000	70978000	102960000	8424700	10618000	39482000	11440000	3393100	4573500	NA	NA	14425000	4312700
O15394;Q9BXU1	NCAM2	NA	15675000	NA	NA	4797900	NA	NA	NA	3539900	NA	2738500	27957000	NA	NA	NA	NA	4332000	NA
O15400	STX7	5350100	8234800	7901100	5967300	5247800	5472800	14306000	15976000	8484700	6387500	5120900	14586000	8624500	11475000	10166000	31596000	2415900	10476000
O15460	P4HA2	6056100	NA	3081300	2085100	NA	1749500	NA	NA	NA	1526500	NA	NA	2040400	1522200	NA	NA	2004500	2375400
O15498	YKT6	10306000	4277900	5554200	4285900	4572100	6927300	4888600	5008700	NA	NA	8888200	NA	7843000	11425000	4664300	10252000	6011300	4642200
O15511	ARPC5	NA	11077000	NA	NA	NA	NA	9353900	NA	NA	NA	NA	NA	23362000	NA	NA	NA	NA	NA
O15533	TAPBP	1373400	NA	NA	3212700	4872100	NA	NA	4194400	NA	4126600	NA	42238000	939740	1412000	NA	3137800	1081800	NA
O15551;P56747;O95484	CLDN3	NA	7286500	6763900	22889000	11532000	14466000	18561000	23569000	NA	16990000	9750600	NA	22977000	10587000	7888200	NA	11848000	18999000
O43143;Q14562	DHX15	49867000	56161000	69846000	43884000	30516000	67890000	49763000	49484000	28524000	68802000	101030000	53724000	63510000	75566000	86856000	50688000	32048000	48921000
O43169	CYB5B	12261000	13000000	11120000	21319000	20311000	6048500	14184000	20649000	NA	25038000	13819000	19161000	3353100	NA	5457700	NA	13088000	18384000
O43175	PHGDH	35218000	69234000	12045000	17719000	8421800	7585300	10927000	3670400	NA	17765000	36247000	13769000	NA	20660000	64485000	11567000	11582000	12321000
O43181	NDUFS4	3125600	NA	3344400	4712900	NA	NA	3326900	6940000	NA	2670100	4334200	3126400	5311000	3610300	NA	4119000	9786500	NA
O43237	DYNC1LI2	5843700	2781100	4292400	7508600	2733400	NA	4460600	2229600	4649100	5200100	3221600	11136000	6226300	6046400	10261000	7652200	5957100	10007000
O43242	PSMD3	80123000	69090000	50523000	89496000	47633000	43825000	84763000	54273000	61124000	36166000	58745000	50935000	87101000	44427000	46826000	66638000	41368000	28002000
O43252	PAPSS1	6754300	8997900	3607600	9689200	4271200	11229000	5914500	23740000	11028000	11110000	10406000	21867000	15731000	12004000	23759000	4920700	4566800	20575000
O43272	PRODH	NA	6389600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45707000	NA	4608100	NA	NA
O43278	SPINT1	2551400	2831700	3365200	12358000	3917000	4196600	3115300	4785500	NA	3871200	NA	4094800	2981300	3682100	NA	4269100	4112000	4139500
O43290	SART1	NA	NA	NA	4621300	6356900	5090600	NA	NA	NA	NA	5119000	NA	6385600	NA	8023900	NA	NA	NA
O43324	EEF1E1	9046200	16840000	11709000	10234000	14321000	11993000	24546000	24423000	15009000	20969000	17587000	11563000	13017000	8415300	13037000	18836000	15016000	11635000
O43390	HNRNPR	135310000	126640000	84712000	222160000	176250000	157300000	164860000	147710000	69241000	123460000	171540000	111990000	93771000	72795000	77036000	112960000	92460000	75198000
O43396	TXNL1	4038700	NA	NA	5426900	NA	1445600	NA	2847800	NA	9009100	15477000	9792300	4357500	13150000	21377000	17329000	6180000	40450000
O43399	TPD52L2	15948000	NA	2586800	4871000	NA	NA	4117000	2543700	NA	13243000	6131400	16359000	12329000	14689000	13616000	22768000	6485000	23847000
O43464;P83110	HTRA2	8131900	7111700	5502300	4170800	5506800	8320700	11087000	3874400	NA	2830400	4386500	5206700	7905200	8247800	5868200	4513000	5015300	5176200
