protein_id	gene_names	OR-01	OR-04	OR-07	OR-09	OR-10	OR-13	OR-20	OR-23	OR-25	PD-02	PD-03	PD-04	PD-06	PD-07	PD-08	PD-09	PD-10	PD-11
Q9UHG3	PCYOX1	49626000	41089000	36812000	66910000	40172000	49060000	50081000	86411000	26080000	24755000	51847000	62078000	29841000	30661000	11958000	46140000	51744000	53433000
Q9UHJ6	SHPK	NA	1602800	NA	NA	NA	NA	NA	1329500	NA	NA	1637000	NA	NA	NA	NA	NA	NA	NA
Q9UHL4	DPP7	7444800	73048000	10004000	13808000	15410000	12093000	36563000	96104000	42252000	22017000	6443100	11403000	7667800	28177000	26330000	10179000	6487900	11650000
Q9UHQ9	CYB5R1	90984000	73845000	74871000	97273000	65986000	48254000	69807000	66625000	75838000	55197000	46716000	8929500	51934000	65254000	35227000	23210000	26492000	26638000
Q9UHV9	PFDN2	4672400	2495200	NA	2692600	NA	NA	NA	NA	NA	4729900	4675700	NA	NA	3353100	NA	4830100	NA	NA
Q9UHX1	PUF60	83726000	44633000	63074000	59922000	56271000	46272000	51590000	42504000	30675000	58286000	70018000	48697000	92616000	58394000	90196000	51876000	48963000	49475000
Q9UI08	EVL	1571700	44361000	55696000	66110000	1478200	21760000	34801000	190140000	34620000	8368000	33791000	39138000	16429000	7504200	16606000	18626000	8209200	NA
Q9UI09	NDUFA12	6565000	NA	6797100	15464000	18790000	NA	7946400	13828000	8168800	NA	9946600	5830300	11158000	5530100	NA	NA	12751000	NA
Q9UI10	EIF2B4	2432500	3021800	2824500	4319400	2858500	3363600	5864300	8405100	2648700	2365600	3733100	3047400	3325000	2741500	NA	NA	NA	3849000
Q9UI12	ATP6V1H	11659000	3835500	7036700	8990400	6155600	8221400	21611000	4094500	13023000	5955400	5903900	14199000	4621100	4346100	NA	6887100	4018100	9312100
Q9UI14	RABAC1	3891900	NA	NA	5269200	NA	4045500	3611600	3558800	4499400	3811000	4764800	NA	6240200	NA	NA	NA	4994600	NA
Q9UI30	TRMT112	6988500	4155100	3368400	4087700	2897100	NA	4249500	NA	4621700	3176600	5402800	NA	3824000	NA	NA	6567600	5413600	5420100
Q9UIA9	XPO7	3191200	NA	4261200	9122700	5083300	2492300	3519200	6537900	NA	4625700	10876000	4450900	3106900	4193100	4780900	NA	NA	3461400
Q9UIJ7	AK3	7709600	12423000	3187600	5514400	6640700	5575600	6357300	12874000	6237300	5342400	5928300	2602100	6342100	13680000	9902000	15112000	5527500	5250700
Q9UJ70	NAGK	24700000	12100000	9972500	18157000	21098000	17595000	6571400	7438000	27496000	16912000	25464000	25769000	12127000	24466000	23830000	30420000	18699000	29323000
Q9UJS0	SLC25A13	22789000	67679000	31454000	23324000	26660000	12081000	88239000	28732000	27285000	10353000	24587000	24777000	74568000	18027000	6255800	42591000	33779000	32561000
Q9UJU6	DBNL	38390000	19578000	19456000	17636000	12247000	20422000	9860200	24466000	22016000	33241000	31469000	45520000	22844000	25195000	45938000	23885000	13515000	36377000
Q9UJW0	DCTN4	NA	1761000	NA	3310900	NA	2376800	NA	NA	NA	NA	NA	1950500	1820700	1503900	NA	NA	1994700	1909400
Q9UJY1	HSPB8	NA	NA	NA	33751000	NA	NA	NA	14859000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UJY4;Q9UJY5	GGA2	4164500	NA	1590400	3856700	1326400	1092500	14827000	3959500	2840900	2110500	2164600	NA	973690	NA	3570200	NA	NA	NA
Q9UJZ1	STOML2	28755000	53863000	43698000	19053000	50035000	42416000	44571000	42366000	21235000	30256000	30599000	45045000	30329000	29872000	118030000	18026000	15764000	63398000
Q9UK22	FBXO2	28485000	NA	NA	2761400	NA	NA	5802700	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11591000
Q9UK41	VPS28	NA	NA	4175800	10487000	NA	3246100	NA	NA	NA	2742400	NA	NA	NA	NA	NA	NA	NA	NA
Q9UKB3	DNAJC12	1751600	NA	NA	2871300	NA	NA	2625400	2333500	NA	NA	2317500	NA	NA	NA	NA	NA	2037300	NA
Q9UKD2	MRTO4	10234000	NA	10152000	18546000	39059000	11316000	21784000	18224000	NA	17561000	27666000	10855000	19840000	8375200	NA	NA	10250000	30621000
Q9UKG1	APPL1	8802600	7624100	7860900	8677800	NA	7931300	8508000	8100200	9447000	6521300	10165000	8260600	7706000	8595100	NA	8036200	NA	9980900
